season,team_id,all_rows,eligible_rows,row_share
2021-22,1610612761,169,84,0.4970414201183432
2021-22,1610612762,191,84,0.4397905759162304
2021-22,1610612763,172,87,0.5058139534883721
2021-22,1610612764,229,98,0.4279475982532751
2021-22,1610612765,233,115,0.49356223175965663
2021-22,1610612766,137,80,0.583941605839416
2022-23,1610612737,151,73,0.48344370860927155
2022-23,1610612738,126,75,0.5952380952380952
2022-23,1610612739,131,73,0.5572519083969466
2022-23,1610612740,124,91,0.7338709677419355
2022-23,1610612741,119,64,0.5378151260504201
2022-23,1610612742,199,104,0.5226130653266332
2022-23,1610612743,139,96,0.6906474820143885
2022-23,1610612744,132,82,0.6212121212121212
2022-23,1610612745,131,85,0.648854961832061
2022-23,1610612746,165,111,0.6727272727272727
2022-23,1610612747,195,111,0.5692307692307692
2022-23,1610612748,160,87,0.54375
2022-23,1610612749,185,100,0.5405405405405406
2022-23,1610612750,160,88,0.55
2022-23,1610612751,206,115,0.558252427184466
2022-23,1610612752,113,75,0.6637168141592921
2022-23,1610612753,162,109,0.6728395061728395
2022-23,1610612754,159,81,0.5094339622641509
2022-23,1610612755,143,79,0.5524475524475524
2022-23,1610612756,172,115,0.6686046511627907
2022-23,1610612757,185,107,0.5783783783783784
2022-23,1610612758,168,77,0.4583333333333333
2022-23,1610612759,215,138,0.641860465116279
2022-23,1610612760,156,110,0.7051282051282052
2022-23,1610612761,158,90,0.569620253164557
2022-23,1610612762,189,109,0.5767195767195767
2022-23,1610612763,142,92,0.647887323943662
2022-23,1610612764,180,100,0.5555555555555556
2022-23,1610612765,176,115,0.6534090909090909
2022-23,1610612766,144,106,0.7361111111111112
2023-24,1610612737,154,78,0.5064935064935064
2023-24,1610612738,153,71,0.46405228758169936
2023-24,1610612739,135,73,0.5407407407407407
2023-24,1610612740,138,81,0.5869565217391305
2023-24,1610612741,129,81,0.627906976744186
2023-24,1610612742,176,102,0.5795454545454546
2023-24,1610612743,121,64,0.5289256198347108
2023-24,1610612744,133,83,0.6240601503759399
2023-24,1610612745,128,74,0.578125
2023-24,1610612746,149,79,0.5302013422818792
2023-24,1610612747,168,69,0.4107142857142857
2023-24,1610612748,185,98,0.5297297297297298
2023-24,1610612749,162,79,0.4876543209876543
2023-24,1610612750,138,61,0.4420289855072464
2023-24,1610612751,171,87,0.5087719298245614
2023-24,1610612752,199,81,0.40703517587939697
2023-24,1610612753,132,83,0.6287878787878788
2023-24,1610612754,172,89,0.5174418604651163
2023-24,1610612755,229,118,0.5152838427947598
2023-24,1610612756,184,93,0.5054347826086957
2023-24,1610612757,186,103,0.553763440860215
2023-24,1610612758,156,78,0.5
2023-24,1610612759,152,86,0.5657894736842105
2023-24,1610612760,191,76,0.39790575916230364
2023-24,1610612761,250,131,0.524
2023-24,1610612762,176,105,0.5965909090909091
2023-24,1610612763,250,146,0.584
2023-24,1610612764,207,114,0.5507246376811594
2023-24,1610612765,250,135,0.54
2023-24,1610612766,216,130,0.6018518518518519
